"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1993850893989761491","Thu Nov 27 10:23:32 +0000 2025","0","@susno2g YG DI RESMIKAN JOKOWI ITU MOROWALI YG DI BAHAS IMIP 2 BANDARA YG BERBEDA GAGAL DI KASUH IJASAH GAGAL DI GIBRAN SEGITU KUATNYA JOKOWI 10TH LEBIH DI HANTAM KETUM PARPOL BUKAN BIG BOSS BUKAN .... https://t.co/vig5Pul1CR","1993989055718281506","https://pbs.twimg.com/media/G6wSeXUbYAMHQin.jpg","susno2g","in","","0","0","0","https://x.com/undefined/status/1993989055718281506","1430914029245976579",
"1993720535038271736","Thu Nov 27 10:12:19 +0000 2025","0","@SussySusanti9 masalah ijasah jokowi sudah selesai dengan terbitnya buku Jokowi White Paper . Tinggal nunggu bantahan dari pihak Jokowi dengan metodologi yang sama","1993986233664721059","","SussySusanti9","in","","0","0","0","https://x.com/undefined/status/1993986233664721059","1522521133190316032",
"1993548106416505141","Thu Nov 27 10:00:59 +0000 2025","0","@Zabidinir @BarisanPemudaRI @jokowi @luhut_binsar Minimal ada tanggung jawab moral bro sy merasa ketipu di awal krn medsos belum se-massive ini dulu. Wong dr awal ijasah apa pede ipeh tidak teliti dari walikota gubernur smp pres","1993983383891005823","","Zabidinir","in","","0","1","0","https://x.com/undefined/status/1993983383891005823","1627154226836312066",
"1993583195863105655","Thu Nov 27 09:34:50 +0000 2025","0","@Rian__Az Polemik ijasah Jokowi Memanipulasikan dan Memalsukan Dokumen Kependidikan Demi meraih Tahta dan Jabatan adalah Bentuk HIANAT TERHADAP KONSITUSI Halo Sang Penjaga Amanat Konstitusi Prabowo Subianto!? Pendidikan adalah Tujuan dan cita-cita NKRI","1993976801677464043","","Rian__Az","in","","0","0","0","https://x.com/undefined/status/1993976801677464043","1592997260602019840",
"1993963047531237634","Thu Nov 27 09:28:38 +0000 2025","6","@KiEdySularno Ngelu‍️ Jokowi Dihina sehina hinanya Dinamika Ijasah Palsu _ Kalau RRT salah tentang ijasah Jokowi Palsu angkat derajat Jokowi setinggi-tingginya _ Kalau RRT Benar tentang ijasah Jokowi Palsu Penghianatan terhadap Konsitusi Bangsa.","1993975242734358858","","KiEdySularno","in","","0","8","0","https://x.com/undefined/status/1993975242734358858","1592997260602019840",
"1993953900031037540","Thu Nov 27 09:00:12 +0000 2025","7","@Simemaki Jatoh omongan Jokowi sudah menghina saya sehina-hinanya. - Kalau RRT salah tentang ijasah Jokowi Palsu angkat derajat Jokowi setinggi-tingginya dan hukum RRT -Kalau RRT Benar tentang ijasah Jokowi. ada Penghianat PEMBUKAAN UUD'45 🇮🇩","1993968087062765765","","Simemaki","in","","0","3","0","https://x.com/undefined/status/1993968087062765765","1592997260602019840",
"1993954322024177974","Thu Nov 27 08:54:09 +0000 2025","0","@idextratime Curiga tumbler nya gamau diganti apa isi tumbler nya ada ijasah jokowi?","1993966564052238689","","idextratime","in","","0","0","0","https://x.com/undefined/status/1993966564052238689","500381281",
"1993813311323033863","Thu Nov 27 08:47:32 +0000 2025","0","@susno2g BESOK PAS SIDANG MINTA HAKIM SURUH NUNJUKIN ASLINYA ITU IJASAH!!! KAN SALING BERHUBUNGAN . Jokowi bilang difitnah ijasahnya Palsu..Roy bilang Memang Palsu..Hakim kan mau gak mau nanysin Mana Ijasah Itu yg dimasalahkan....dah gitu ajah.","1993964896669859899","","susno2g","in","","0","0","0","https://x.com/undefined/status/1993964896669859899","713899972500951040",
"1993893427852005603","Thu Nov 27 08:44:55 +0000 2025","1","@xquitavee Polemik ijasah Jokowi N'gibran memanipulasikan Memalsukan Dokumen Kependidikan Demi meraih Tahta dan Jabatan adalah Bentuk HIANAT TERHADAP KONSITUSI. Halo Prabowo Subianto Sang Penjaga Amanat Konstitusi!? Pendidikan adalah Tujuan dan cita-cita NKRI","1993964241842524193","","xquitavee","in","","0","0","0","https://x.com/undefined/status/1993964241842524193","1592997260602019840",
"1993963700991168588","Thu Nov 27 08:42:47 +0000 2025","0","Geger2 Ijasah palsu Jokowi bila kelak terkuak terbukti palsu apa yg akan terjadi? Jokowi dipenjara? Tdk mungkin dipenjara.Pasti dilindungi olh pres Prabowo. Prabowo pasang badan utk Jokowi. @msaid_didu @susno2g","1993963700991168588","","","in","","0","0","0","https://x.com/undefined/status/1993963700991168588","1639157189792378882",
